#ΛΕΞΗ	ΛΗΜΜΑ	Μ.τ.Λ.	ΧΑΡΑΚΤΗΡΙΣΜΟΙ
ανοικτό	ανοικτός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
βγάζουν			
οισοφάγος	οισοφάγος	ουσιαστικό	αρσενικό, ενικός, ονομαστική
μονόχρωμα	μονόχρωμος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
οισοφάγου	οισοφάγος	ουσιαστικό	αρσενικό, ενικός, γενική
πολυθρόνα	πολυθρόνα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
άγριο	άγριος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
έφτανε			
ψωμάδες	ψωμάς	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
απάνω	απάνω	επίρρημα	
φορτωμένος	φορτώνω	ρήμα	παθητική, παρακείμενος, μετοχή, , 
φίτσμπουργκ			
ερωτευμένοι			
ξύπνα	ξυπνώ	ρήμα	ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
αφεντικό	αφεντικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	αφεντικό	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
	αφεντικός	ουσιαστικό	αρσενικό, ενικός, αιτιατική
τρεκλίζοντας	τρεκλίζω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
ερωτευμένος	ερωτεύομαι	ρήμα	παθητική, παρακείμενος, μετοχή, , 
σμίγει	σμίγω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ρόλο	ρόλος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
ζαρκάδια	ζαρκάδι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ντέρμπι	ντέρμπι	ουσιαστικό	άκλιτο
ανθρώπων	άνθρωπος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
διάβασα	διαβάζω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 1ο πρόσωπο
ακραίους	ακραίος	επίθετο	αρσενικό, πληθυντικός, αιτιατική
έλειπε	λείπω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
θεός	θεός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
καλοκαιριού	καλοκαίρι	ουσιαστικό	ουδέτερο, ενικός, γενική
ακαταλόγιστου	ακαταλόγιστος	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, γενική
χει			
πείσμα	πείσμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
εικονογραφημένο			
δέρματα	δέρμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κλαίει			
επίσκεψη	επίσκεψη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ιδανικό	ιδανικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	ιδανικό	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κοιμηθούνε	κοιμούμαι	ρήμα	παθητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
δυνάστη	δυνάστης	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
γεμίζω	γεμίζω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
μυριόχρωμα			
πεταλούδα	πεταλούδα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ανήσυχος	ανήσυχος	επίθετο	αρσενικό, ενικός, ονομαστική
άγρια	άγριος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κοπάνιζε	κοπανίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
φυλής	φυλή	ουσιαστικό	θηλυκό, ενικός, γενική
εβούλσιο			
μπαλίτσα			
κίνηση	κίνηση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
κοιτώντας	κοιτώ	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
αντιτάσσεται			
άντεξαν	αντέχω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
φαντάζεται	φαντάζομαι	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
επλήθαινε			
υποφέρει			
μαλώσει	μαλώνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
συνέχισαν	συνεχίζω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
κάματο	κάματος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
έξυπνος	έξυπνος	επίθετο	αρσενικό, ενικός, ονομαστική
φτωχός	φτωχός	επίθετο	αρσενικό, ενικός, ονομαστική
	φτωχός	επίθετο	αρσενικό, ενικός, ονομαστική
πέσουν			
δυστυχισμένους	δυστυχισμένος	επίθετο	αρσενικό, πληθυντικός, αιτιατική
λίγο	λίγος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
	λίγο	επίρρημα	
εννιάχρονος			
ποντίκι	ποντίκι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
ηλικιών	ηλικία	ουσιαστικό	θηλυκό, πληθυντικός, γενική
εντέλει	εντέλει	επίρρημα	
ονειρευόμουν	ονειρεύομαι	ρήμα	παθητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
χρυσοθήρα	χρυσοθήρας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
κανονίστηκε	κανονίζω	ρήμα	παθητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
εμετικά	εμετικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
υποχρεωμένη			
μωσαϊκά	μωσαϊκός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	μωσαϊκό	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ζούσε	ζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
θρόνο	θρόνοι	ουσιαστικό	αρσενικό, ενικός, αιτιατική
χώνεται	χώνω	ρήμα	παθητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
επίμονα	επίμονος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
κατάφορτες	κατάφορτος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
μάτια	μάτι	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	ματίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
κοριτσάκι			
έστω			
δυσχερείς	δυσχερής	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, ονομαστική
δόνα			
ελεύθερο	ελεύθερος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
επικρατήσει	επικρατώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
αυτόματα	αυτόματο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	αυτόματος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
πανομοιότυπο	πανομοιότυπος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
παραλλαγή	παραλλαγή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ειρωνικά	ειρωνικός	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καθεμιά			
αυλικοί	αυλικός	επίθετο	αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
νικάω	νικώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 1ο πρόσωπο
ασπρομάλλης	ασπρομάλλης	επίθετο	αρσενικό, ενικός, ονομαστική
χρέη	χρέος	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αναστατώσεων	αναστάτωση	ουσιαστικό	θηλυκό, πληθυντικός, γενική
πηδώντας	πηδάω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
γιώργος			
βγαίνοντας			
πουλάκια			
ψηφιδωτό	ψηφιδωτός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
μπλε	μπλε	επίθετο	άκλιτο
παράταιρη	παράταιρος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
οδηγίες	οδηγία	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
μάρτυρα	μάρτυρας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
αλέξανδρος			
επιδρομών	επιδρομή	ουσιαστικό	θηλυκό, πληθυντικός, γενική
ακτής	ακτή	ουσιαστικό	θηλυκό, ενικός, γενική
απελπιστικό	απελπιστικός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
χτυπούν	χτυπώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
αλμυρό	αλμυρός	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
ευνοούν	ευνοώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
γιατρός	γιατρός	ουσιαστικό	αρσενικό, ενικός, ονομαστική
	γιατρός	ουσιαστικό	θηλυκό, ενικός, ονομαστική
χαν	χαν	ουσιαστικό	άκλιτο
σχήματα	σχήμα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
ετούτη			
παλατιού	παλάτι	ουσιαστικό	ουδέτερο, ενικός, γενική
ξεκολλάει	ξεκολλώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
ράσα	ράσο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
μονόξυλα	μονόξυλο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
βασανισμένες			
χαρτόνι	χαρτόνι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
σταματήσει	σταματώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
γάλα	γάλα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
βερμούδες	βερμούδα	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
συμφωνούν	συμφωνώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
	συμφωνών	επίθετο	ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
κοίτα	κοιτώ	ρήμα	ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
ολόκληρος	ολόκληρος	επίθετο	αρσενικό, ενικός, ονομαστική
βαριεστημένος	βαριεστημένος	επίθετο	αρσενικό, ενικός, ονομαστική
αγελάδας	αγελάδα	ουσιαστικό	θηλυκό, ενικός, γενική
παιχτών	παίχτης	ουσιαστικό	αρσενικό, πληθυντικός, γενική
φτανε			
ανάκρισης	ανάκριση	ουσιαστικό	θηλυκό, ενικός, γενική
ημέρας	ημέρα	ουσιαστικό	θηλυκό, ενικός, γενική
ώραν			
πόθων	πόθος	ουσιαστικό	αρσενικό, πληθυντικός, γενική
έπνιγαν	πνίγω	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 3ο πρόσωπο
άτομα	άτομο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
δουλεύει	δουλεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
τσέπες	τσέπη	ουσιαστικό	θηλυκό, πληθυντικός, αιτιατική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, ονομαστική
πνίξουν	πνίγω	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
κάμανε			
ανεμόδαρμα			
συγγραφέα	συγγραφέας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
ξημερώνοντας	ξημερώνω	ρήμα	ενεργητική, ενεστώτας, μετοχή, , 
τόπο	τόπος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
προπαντός	προπαντός	επίρρημα	
μακάρια	μακαρίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
	μακάριος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
σκληρού	σκληρός	επίθετο	ουδέτερο, ενικός, γενική
			αρσενικό, ενικός, γενική
διακρίνουν			
φασαρία	φασαρίας	ουσιαστικό	αρσενικό, ενικός, κλητική
			αρσενικό, ενικός, αιτιατική
			αρσενικό, ενικός, γενική
	φασαρία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
κακάρισμα	κακάρισμα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
επίσης	επίσης	επίρρημα	
ώρας	ώρα	ουσιαστικό	θηλυκό, ενικός, γενική
αλεύρι	αλεύρι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
βασιλική	βασιλικός	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
	βασιλική	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
χτυπήματα	χτύπημα	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
καταγωγή	καταγωγή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
έλξη	έλξη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ήρωες	ήρωας	ουσιαστικό	αρσενικό, πληθυντικός, αιτιατική
			αρσενικό, πληθυντικός, κλητική
			αρσενικό, πληθυντικός, ονομαστική
τόση			
κρυσταλλωμένος	κρυσταλλώνω	ρήμα	παθητική, παρακείμενος, μετοχή, , 
έκανε	κάνω	 ρήμα	 ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
άρχισαν	αρχίζω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
έκανα	κάνω	 ρήμα	 ενεργητική, παρατατικός, οριστική, ενικός, 1ο πρόσωπο
ξανάγιναν			
φυσάει	φυσάω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
δύναμη	δύναμη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
ελλήνων	έλληνας	ουσιαστικό	αρσενικό, πληθυντικός, γενική
ακολουθούν	ακολουθώ	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
χάθηκε			
χαμογελάει	χαμογελώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
κέντρο	κέντρο	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κίνδυνο	κίνδυνος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
άκου			
περιμένει			
δύναμη	δύναμη	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
γυρίσανε	γυρίζω	ρήμα	ενεργητική, αόριστος, οριστική, πληθυντικός, 3ο πρόσωπο
ανατολή	ανατολή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
οικοδέσποινας	οικοδέσποινα	ουσιαστικό	θηλυκό, ενικός, γενική
τότε	τότε	επίρρημα	
συνέβηκε			
έκαμε			
προειδοποιήσει	προειδοποιώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
πλακώνει	πλακώνω	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
γάτα	γάτα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
αναπάντεχη	αναπάντεχος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
ωραία	ωραίος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
σύμφωνα	σύμφωνο	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
	σύμφωνος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
αγριεύουν	αγριεύω	ρήμα	ενεργητική, ενεστώτας, οριστική, πληθυντικός, 3ο πρόσωπο
επαφή	επαφή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
αναπάντεχο	αναπάντεχος	επίθετο	αρσενικό, ενικός, αιτιατική
			ουδέτερο, ενικός, αιτιατική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, κλητική
τόσο	τόσο	επίρρημα	
ηρεμήσουνε	ηρεμώ	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 3ο πρόσωπο
κουταλιά	κουταλιά	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
έχυσες			
δασκάλα	δασκάλα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
τειχών	τείχος	ουσιαστικό	ουδέτερο, πληθυντικός, γενική
φύγει			
αλωνίσουμε	αλωνίζω	ρήμα	ενεργητική, αόριστος, υποτακτική, πληθυντικός, 1ο πρόσωπο
πάτερ	πάτερ	ουσιαστικό	άκλιτο
μιλούσαμε	μιλώ	ρήμα	ενεργητική, παρατατικός, οριστική, πληθυντικός, 1ο πρόσωπο
κρυσταλλένια	κρυσταλλένιος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			θηλυκό, ενικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
παροτρύνει	παροτρύνω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, απαρέμφατο, , 
χιόνι	χιόνι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
πρόφερε			
φταις			
διαθέσεων	διάθεση	ουσιαστικό	θηλυκό, πληθυντικός, γενική
εξακολουθούσε	εξακολουθώ	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
πλευράς	πλευρά	ουσιαστικό	θηλυκό, ενικός, γενική
ξαναλέω			
πλούσιος	πλούσιος	επίθετο	αρσενικό, ενικός, ονομαστική
λίγες	λίγος	επίθετο	θηλυκό, πληθυντικός, ονομαστική
			θηλυκό, πληθυντικός, κλητική
			θηλυκό, πληθυντικός, αιτιατική
διήγημα	διήγημα	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
κρααακ			
συνήλθε			
ήρωας	ήρωας	ουσιαστικό	αρσενικό, ενικός, ονομαστική
πίπιζα	πίπιζα	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
παρέσυρε			
τόνο	τόνος	ουσιαστικό	αρσενικό, ενικός, αιτιατική
βουτηγμένος	βουτάω	ρήμα	παθητική, παρακείμενος, μετοχή, , 
πλάσει			
άνεση	άνεση	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πρόθυμα	πρόθυμος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
φώτα	φως	ουσιαστικό	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
φως	φως	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
γρύλιζε	γρυλίζω	ρήμα	ενεργητική, παρατατικός, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, ενεστώτας, προστακτική, ενικός, 2ο πρόσωπο
ύστατη	ύστατος	επίθετο	θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
			θηλυκό, ενικός, κλητική
χαρείς			
εικόναη			
κριάρι	κριάρι	ουσιαστικό	ουδέτερο, ενικός, κλητική
			ουδέτερο, ενικός, ονομαστική
			ουδέτερο, ενικός, αιτιατική
βλέποντας			
διαταγή	διαταγή	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
εξηγήσω	εξηγώ	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
φτιάξει			
ρεζίλι	ρεζίλι	ουσιαστικό	, ενικός, κλητική
			, ενικός, ονομαστική
			, ενικός, αιτιατική
σταματάει	σταματώ	ρήμα	ενεργητική, ενεστώτας, οριστική, ενικός, 3ο πρόσωπο
βερέγγας			
καρφάκι			
βρίσκει			
άνετα	άνετα	επίρρημα	
	άνετος	επίθετο	ουδέτερο, πληθυντικός, αιτιατική
			ουδέτερο, πληθυντικός, κλητική
			ουδέτερο, πληθυντικός, ονομαστική
βρεις			
ποικιλότατα			
αντιπάρου			
δώθε	δώθε	επίρρημα	
συμπλήρωσε	συμπληρώνω	ρήμα	ενεργητική, αόριστος, οριστική, ενικός, 3ο πρόσωπο
			ενεργητική, αόριστος, προστακτική, ενικός, 2ο πρόσωπο
ψυχολογία	ψυχολογία	ουσιαστικό	θηλυκό, ενικός, κλητική
			θηλυκό, ενικός, ονομαστική
			θηλυκό, ενικός, αιτιατική
πονέσω	πονάω	ρήμα	ενεργητική, αόριστος, υποτακτική, ενικός, 1ο πρόσωπο
θάλασσα	θάλασσα	ουσιαστικό	θηλυκό, ενικός, κλητική
